City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,san pedro de uraba,CO,8.2752,-76.3764,74.52,91,100,3.47,overcast clouds
82,harper,LR,4.375,-7.7169,75.85,91,100,4.68,light rain
83,kapaa,US,22.0752,-159.319,80.92,71,75,12.66,light rain
84,baley,RU,51.6,116.6333,32.31,44,0,5.32,clear sky
85,anadyr,RU,64.75,177.4833,45.1,100,75,22.37,light intensity shower rain
86,ayolas,PY,-27.4,-56.9,68.13,98,93,6.82,light rain
87,abu samrah,SY,35.3029,37.1841,65.46,63,0,2.37,clear sky
88,haines junction,CA,60.7522,-137.5108,46.99,90,80,6.11,broken clouds
89,thompson,CA,55.7435,-97.8558,28.56,86,75,13.8,broken clouds
90,rulenge,TZ,-2.7175,30.6325,62.94,72,70,0.94,broken clouds
91,walvis bay,NA,-22.9575,14.5053,52.75,92,0,9.4,clear sky
92,ornskoldsvik,SE,63.2909,18.7153,50.95,87,100,19.57,light rain
93,georgetown,MY,5.4112,100.3354,82.89,84,20,3.44,moderate rain
94,poum,NC,-20.2333,164.0167,75.07,59,96,9.28,overcast clouds
95,qasigiannguit,GL,68.8193,-51.1922,25.05,79,100,3.4,overcast clouds
96,gorele,TR,41.0308,39.0031,62.26,89,100,3.8,overcast clouds
97,solwezi,ZM,-12.1688,26.3894,59.32,28,34,4.43,scattered clouds
98,yellowknife,CA,62.456,-114.3525,37.56,74,52,15.01,broken clouds
99,seoul,KR,37.5683,126.9778,65.59,63,50,2.53,scattered clouds
100,asau,RO,46.4333,26.4,42.28,78,100,6.02,overcast clouds
101,hun,LY,29.1268,15.9477,68.16,71,0,5.44,clear sky
102,pimentel,PE,-6.8367,-79.9342,61.29,85,34,15.77,scattered clouds
103,avarua,CK,-21.2078,-159.775,78.85,65,20,18.41,few clouds
104,codrington,AU,-38.2667,141.9667,63.3,81,100,12.88,overcast clouds
105,barcelos,PT,41.5388,-8.6151,65.91,84,100,4.56,overcast clouds
106,puerto ayora,EC,-0.7393,-90.3518,67.55,92,95,5.99,overcast clouds
107,ribeira grande,PT,38.5167,-28.7,71.06,83,96,4.52,overcast clouds
108,clyde river,CA,70.4692,-68.5914,23.29,83,99,10.96,light snow
109,el campo,US,29.1966,-96.2697,75.49,64,0,4.61,clear sky
110,kismayo,SO,-0.3582,42.5454,76.71,87,32,11.56,scattered clouds
111,dikson,RU,73.5069,80.5464,31.84,88,100,12.33,overcast clouds
112,olafsvik,IS,64.8945,-23.7142,44.29,71,97,11.48,overcast clouds
113,port hedland,AU,-20.3167,118.5667,84.25,39,5,9.22,clear sky
114,talnakh,RU,69.4865,88.3972,31.21,95,100,3.98,overcast clouds
115,neiafu,TO,-18.65,-173.9833,83.08,74,75,9.22,broken clouds
116,east london,ZA,-33.0153,27.9116,63.61,83,100,10.89,overcast clouds
117,ostrovnoy,RU,68.0531,39.5131,46.02,82,88,17.58,overcast clouds
118,avera,US,33.194,-82.5271,57.9,38,63,1.88,broken clouds
119,nicoya,CR,10.1483,-85.452,75.56,92,100,2.71,overcast clouds
120,souillac,MU,-20.5167,57.5167,71.98,78,75,9.22,broken clouds
121,aykhal,RU,66.0,111.5,19.96,94,79,8.48,broken clouds
122,thinadhoo,MV,0.5333,72.9333,82.51,74,99,19.06,overcast clouds
123,srednekolymsk,RU,67.45,153.6833,23.07,93,100,25.99,snow
124,ambanja,MG,-13.6833,48.45,68.72,77,19,3.74,few clouds
125,new norfolk,AU,-42.7826,147.0587,58.91,61,100,11.65,overcast clouds
126,kostyantynivka,UA,48.5277,37.7069,45.32,81,61,5.5,broken clouds
127,ust-koksa,RU,50.2696,85.6108,37.49,59,94,1.16,overcast clouds
128,palaia fokaia,GR,37.72,23.9463,65.35,55,0,25.1,clear sky
129,saint-philippe,RE,-21.3585,55.7679,63.99,77,40,11.54,scattered clouds
130,yambio,SS,4.5721,28.3955,66.4,98,79,2.66,broken clouds
131,xuddur,SO,4.1213,43.8894,71.76,81,66,12.41,broken clouds
132,preobrazheniye,RU,42.9019,133.9064,49.39,29,11,3.11,few clouds
133,ansalta,RU,42.6894,46.1178,54.41,91,75,0.89,broken clouds
134,siniscola,IT,40.5719,9.6922,53.15,68,12,4.16,few clouds
135,severo-kurilsk,RU,50.6789,156.125,46.78,51,33,11.52,scattered clouds
136,hasaki,JP,35.7333,140.8333,59.29,83,100,26.31,overcast clouds
137,tondon,GN,10.3667,-13.35,72.88,98,12,0.89,light rain
138,la palma,US,33.8464,-118.0467,80.11,82,20,9.22,few clouds
139,hithadhoo,MV,-0.6,73.0833,82.42,74,100,20.51,overcast clouds
140,saint-augustin,CA,51.226,-58.6502,49.75,94,67,4.88,broken clouds
141,launceston,AU,-41.45,147.1667,57.61,71,75,16.11,broken clouds
142,rocha,UY,-34.4833,-54.3333,54.36,95,100,7.52,overcast clouds
143,mahebourg,MU,-20.4081,57.7,71.89,78,75,9.22,broken clouds
144,saint-pierre,RE,-21.3393,55.4781,62.28,67,0,3.44,clear sky
145,plettenberg bay,ZA,-34.0527,23.3716,53.22,86,0,6.38,clear sky
146,aljustrel,PT,37.8776,-8.1652,64.99,50,0,4.83,clear sky
147,mana,GF,5.6592,-53.7767,78.85,85,7,10.11,clear sky
148,malanje,AO,-9.5402,16.341,64.22,88,92,0.74,overcast clouds
149,tautira,PF,-17.7333,-149.15,76.57,71,68,23.71,broken clouds
150,iqaluit,CA,63.7506,-68.5145,31.73,100,100,0.0,light snow
151,hami,CN,42.8,93.45,56.62,29,0,6.62,clear sky
152,san juan,AR,-31.5375,-68.5364,57.11,52,21,5.03,few clouds
153,cayenne,GF,4.9333,-52.3333,77.04,88,0,0.0,clear sky
154,sulangan,PH,11.1373,123.7228,83.26,74,31,7.94,scattered clouds
155,richards bay,ZA,-28.783,32.0377,72.16,87,64,13.65,broken clouds
156,inverell,AU,-29.7833,151.1167,61.11,81,100,5.01,overcast clouds
157,brandfort,ZA,-28.7001,26.4597,53.01,29,44,6.55,scattered clouds
158,alofi,NU,-19.0595,-169.9187,82.29,69,40,12.66,scattered clouds
159,copiapo,CL,-27.3667,-70.3333,51.49,67,0,0.74,clear sky
160,katsuura,JP,35.1333,140.3,60.22,91,100,22.97,overcast clouds
161,namatanai,PG,-3.6667,152.4333,84.72,69,87,9.37,light rain
162,cidreira,BR,-30.1811,-50.2056,63.41,84,100,21.72,overcast clouds
163,digras,IN,20.1167,77.7167,76.17,88,86,1.66,light rain
164,blagoyevo,RU,63.3667,47.9167,42.96,96,100,3.09,overcast clouds
165,ahipara,NZ,-35.1667,173.1667,55.56,55,89,18.3,overcast clouds
166,bethel,US,41.3712,-73.414,59.54,89,100,5.01,overcast clouds
167,bauchi,NG,10.5,10.0,73.45,74,88,3.71,overcast clouds
168,sovetskiy,RU,61.3614,63.5842,39.67,77,97,4.88,overcast clouds
169,vao,NC,-22.6667,167.4833,70.99,60,97,12.1,overcast clouds
170,gariaband,IN,20.635,82.0614,75.83,89,99,4.12,overcast clouds
171,maragogi,BR,-9.0122,-35.2225,75.52,90,7,7.25,clear sky
172,storforshei,NO,66.4043,14.5233,46.18,87,75,6.91,light intensity drizzle
173,nuuk,GL,64.1835,-51.7216,36.21,80,100,2.3,overcast clouds
174,beauceville,CA,46.2179,-70.7787,47.5,81,0,0.0,clear sky
175,ancud,CL,-41.8697,-73.8203,48.02,86,95,10.89,light rain
176,broken hill,AU,-31.95,141.4333,78.21,23,0,14.2,clear sky
177,kuhdasht,IR,33.535,47.6061,65.97,18,0,4.56,clear sky
178,emmaus,US,40.5395,-75.4968,59.45,87,40,8.05,scattered clouds
179,gat,IL,31.61,34.7642,73.4,100,2,4.12,clear sky
180,constitucion,CL,-35.3333,-72.4167,49.17,87,75,5.66,broken clouds
181,batagay-alyta,RU,67.8006,130.4114,21.99,78,97,12.48,overcast clouds
182,toribio,CO,2.9548,-76.2684,59.95,97,100,1.72,overcast clouds
183,cervo,ES,43.6702,-7.4101,62.08,87,100,16.11,overcast clouds
184,guerrero negro,MX,27.9769,-114.0611,70.59,78,0,11.9,clear sky
185,padang,ID,-0.9492,100.3543,78.85,82,97,6.29,overcast clouds
186,xiaoweizhai,CN,26.1903,107.5125,74.66,76,59,7.83,broken clouds
187,chipinge,ZW,-20.1883,32.6236,61.09,64,0,4.07,clear sky
188,natalinsk,RU,56.4739,57.8698,45.99,69,100,5.86,overcast clouds
189,pevek,RU,69.7008,170.3133,31.8,95,100,9.8,light snow
190,surenavan,AM,39.75,44.8,71.1,22,92,6.93,overcast clouds
191,bairiki,KI,1.3292,172.9752,86.0,70,40,14.97,scattered clouds
192,anlu,CN,31.1661,112.5831,47.73,93,100,12.93,overcast clouds
193,beira,MZ,-19.8436,34.8389,71.69,94,40,4.61,scattered clouds
194,yerofey pavlovich,RU,53.9667,121.9667,35.42,38,78,4.5,broken clouds
195,narsaq,GL,60.9167,-46.05,35.82,91,21,5.5,few clouds
196,masuguru,TZ,-11.3667,38.4167,67.59,90,2,3.31,clear sky
197,leningradskiy,RU,69.3833,178.4167,31.41,90,100,9.73,overcast clouds
198,ponta do sol,PT,32.6667,-17.1,70.43,84,22,6.22,few clouds
199,daru,PG,-9.0763,143.2092,82.53,82,97,15.57,overcast clouds
200,houma,US,29.5958,-90.7195,71.01,84,0,0.0,clear sky
201,khatanga,RU,71.9667,102.5,6.46,99,100,4.05,overcast clouds
202,bathsheba,BB,13.2167,-59.5167,81.21,83,75,13.8,broken clouds
203,maniitsoq,GL,65.4167,-52.9,32.52,67,89,11.95,overcast clouds
204,hurricane,US,37.1753,-113.2899,81.01,29,37,3.27,scattered clouds
205,sorong,ID,-0.8833,131.25,83.16,74,30,3.51,scattered clouds
206,havoysund,NO,70.9963,24.6622,44.83,83,100,15.43,overcast clouds
207,dunedin,NZ,-45.8742,170.5036,41.05,85,100,23.29,overcast clouds
208,orje,NO,59.4802,11.6602,51.13,86,18,10.85,few clouds
209,sola,VU,-13.8833,167.55,77.67,83,17,3.44,few clouds
210,san quintin,MX,30.4833,-115.95,68.85,82,59,6.62,broken clouds
211,longyearbyen,SJ,78.2186,15.6401,39.04,75,40,11.5,scattered clouds
212,opuwo,NA,-18.0607,13.84,67.32,34,0,4.34,clear sky
213,butaritari,KI,3.0707,172.7902,82.31,72,8,13.71,clear sky
214,placido de castro,BR,-10.3353,-67.1856,76.03,80,33,3.09,scattered clouds
215,nanortalik,GL,60.1432,-45.2371,37.92,88,36,14.72,scattered clouds
216,tortoli,IT,39.9256,9.6572,64.22,55,0,11.5,clear sky
217,kloulklubed,PW,7.0419,134.2556,86.5,72,14,9.04,few clouds
218,faanui,PF,-16.4833,-151.75,78.03,75,3,25.14,clear sky
219,isangel,VU,-19.55,169.2667,82.51,74,75,11.5,broken clouds
220,kuusamo,FI,65.9667,29.1833,44.64,100,100,16.11,light intensity drizzle
221,caravelas,BR,-17.7125,-39.2481,74.57,85,66,6.51,broken clouds
222,iskateley,RU,67.6803,53.1512,43.38,95,100,9.35,overcast clouds
223,shingu,JP,33.7333,135.9833,66.31,72,100,4.38,overcast clouds
224,airai,TL,-8.9266,125.4092,74.23,52,94,3.6,overcast clouds
225,sungairaya,ID,0.7,108.9,76.68,89,100,3.31,overcast clouds
226,santa maria,BR,-29.6842,-53.8069,60.89,95,100,11.48,moderate rain
227,cabo san lucas,MX,22.8909,-109.9124,83.61,69,0,6.91,clear sky
228,karangasem,ID,-8.45,115.6167,78.19,86,100,9.57,overcast clouds
229,ngong,KE,-1.3618,36.6566,58.78,80,96,6.42,overcast clouds
230,portland,US,45.5234,-122.6762,67.93,76,20,4.61,few clouds
231,buraydah,SA,26.326,43.975,68.45,17,0,5.66,clear sky
232,vila velha,BR,-20.3297,-40.2925,75.15,88,100,5.75,overcast clouds
233,mangan,IN,27.5167,88.5333,72.3,87,100,0.6,overcast clouds
234,ayr,GB,55.4627,-4.6339,53.58,76,24,26.46,few clouds
235,severnoye,RU,56.3491,78.3619,41.43,95,100,0.76,overcast clouds
236,esperance,AU,-33.8667,121.9,57.96,57,24,21.41,few clouds
237,kindu,CD,-2.95,25.95,68.68,95,100,1.74,overcast clouds
238,torbay,CA,47.6666,-52.7314,52.27,87,0,14.97,clear sky
239,quesnel,CA,52.9999,-122.5029,59.65,70,11,4.94,few clouds
240,goderich,CA,43.7501,-81.7165,59.92,88,100,3.44,overcast clouds
241,lewistown,US,40.5992,-77.5714,54.34,87,0,0.0,clear sky
242,touros,BR,-5.1989,-35.4608,76.78,85,10,10.71,clear sky
243,bushenyi,UG,-0.5853,30.2114,57.87,93,66,1.07,broken clouds
244,tezu,IN,27.9167,96.1667,74.08,97,99,1.52,overcast clouds
245,paciran,ID,-6.8767,112.3761,82.76,71,88,5.14,overcast clouds
246,quelimane,MZ,-17.8786,36.8883,75.15,88,20,3.44,few clouds
247,fairbanks,US,64.8378,-147.7164,48.22,71,0,0.0,clear sky
248,flin flon,CA,54.7682,-101.865,32.04,51,0,4.97,clear sky
249,verkhnyaya inta,RU,65.9811,60.3094,41.23,96,100,1.81,light rain
250,west bay,KY,19.3667,-81.4167,84.27,75,75,6.91,broken clouds
251,coihaique,CL,-45.5752,-72.0662,42.75,87,100,0.0,light rain
252,zhenlai,CN,45.8495,123.2973,45.54,26,0,6.13,clear sky
253,riyadh,SA,24.6877,46.7219,73.54,16,0,1.97,clear sky
254,kutum,SD,14.2,24.6667,76.1,34,26,3.56,scattered clouds
255,ketchikan,US,55.3422,-131.6461,59.47,94,100,5.75,overcast clouds
256,ha tinh,VN,18.3333,105.9,80.87,82,67,2.48,broken clouds
257,ilulissat,GL,69.2167,-51.1,24.82,58,100,0.0,overcast clouds
258,marsh harbour,BS,26.5412,-77.0636,79.52,65,62,11.34,broken clouds
259,gerash,IR,27.6652,54.1371,64.54,18,0,4.43,clear sky
260,davila,PH,18.4726,120.5763,87.78,67,6,8.93,clear sky
261,nouadhibou,MR,20.931,-17.0347,80.58,47,66,19.57,broken clouds
262,thiers,FR,45.8333,3.5,57.52,84,0,1.81,clear sky
263,cheney,US,47.4874,-117.5758,72.18,44,75,3.44,broken clouds
264,aklavik,CA,68.2191,-135.0107,35.35,92,100,14.43,overcast clouds
265,harnosand,SE,62.6323,17.9379,51.01,86,100,20.76,light rain
266,jalu,LY,29.0331,21.5482,70.83,50,8,10.2,clear sky
267,mount hagen,PG,-5.8581,144.2274,73.49,66,100,3.44,overcast clouds
268,benguela,AO,-12.5763,13.4055,70.79,85,97,5.86,overcast clouds
269,cape coast,GH,5.1053,-1.2466,75.38,92,100,9.06,overcast clouds
270,pueblo,US,38.2545,-104.6091,61.29,64,20,5.75,few clouds
271,rio gallegos,AR,-51.6226,-69.2181,44.65,57,0,9.22,clear sky
272,yarmouth,US,41.7057,-70.2286,60.94,95,100,14.97,overcast clouds
273,nanning,CN,22.8167,108.3167,82.85,67,13,8.72,few clouds
274,victoria,HK,22.2855,114.1577,88.25,71,51,11.01,broken clouds
275,galesong,ID,-5.3166,119.3661,84.22,73,100,5.28,overcast clouds
276,belmonte,BR,-15.8631,-38.8828,74.25,86,19,9.24,few clouds
277,labuhan,ID,-6.8844,112.2051,83.88,68,75,8.34,broken clouds
278,chernyshevskiy,RU,63.0128,112.4714,29.28,79,100,7.11,overcast clouds
279,bopfingen,DE,48.85,10.35,55.56,87,49,5.79,scattered clouds
280,cap malheureux,MU,-19.9842,57.6142,68.47,76,11,1.99,few clouds
281,kenai,US,60.5544,-151.2583,55.09,72,75,9.22,light rain
282,hambantota,LK,6.1241,81.1185,80.58,76,100,20.15,overcast clouds
283,vaitape,PF,-16.5167,-151.75,78.03,75,3,25.08,clear sky
284,mahanje,TZ,-9.9333,35.3333,56.82,72,24,2.93,few clouds
285,goya,AR,-29.14,-59.2626,63.52,96,86,1.43,light rain
286,say,NE,13.1007,2.3689,77.56,64,23,8.63,few clouds
287,oranjemund,NA,-28.55,16.4333,53.44,92,7,8.21,clear sky
288,hopkinsville,US,36.8656,-87.4886,60.84,60,21,4.03,few clouds
289,verkhoyansk,RU,67.5447,133.385,24.66,90,100,6.73,light snow
290,pangnirtung,CA,66.1451,-65.7125,30.92,93,100,2.91,light snow
291,kamaishi,JP,39.2667,141.8833,58.08,52,100,3.4,overcast clouds
292,havelock,US,34.8791,-76.9013,62.58,91,0,4.61,clear sky
293,asfi,MA,32.2994,-9.2372,67.59,83,0,6.64,clear sky
294,chernyshevsk,RU,52.5243,117.0174,34.99,40,12,6.11,few clouds
295,muswellbrook,AU,-32.2667,150.9,60.44,83,100,3.22,overcast clouds
296,henties bay,NA,-22.116,14.2845,54.59,92,61,10.89,broken clouds
297,itacare,BR,-14.2775,-38.9967,73.0,88,6,4.54,clear sky
298,berlevag,NO,70.8578,29.0864,42.8,81,100,18.41,overcast clouds
299,dale,US,38.1689,-86.99,55.9,62,0,3.44,clear sky
300,narsipatnam,IN,17.6667,82.6167,75.97,95,100,4.56,light rain
301,alice springs,AU,-23.7,133.8833,89.15,40,0,16.11,clear sky
302,sorland,NO,67.667,12.6934,48.06,84,100,34.38,overcast clouds
303,maceio,BR,-9.6658,-35.7353,72.84,100,40,1.14,scattered clouds
304,canon city,US,38.441,-105.2424,58.87,63,40,4.61,scattered clouds
305,port hardy,CA,50.6996,-127.4199,62.78,77,20,6.91,few clouds
306,dudinka,RU,69.4058,86.1778,31.62,94,100,2.15,overcast clouds
307,faya,SA,18.3851,42.4509,68.11,31,47,6.93,scattered clouds
308,zhigansk,RU,66.7697,123.3711,24.73,80,100,26.08,overcast clouds
309,madera,US,37.1666,-119.8343,84.29,31,0,1.01,clear sky
310,glendive,US,47.1053,-104.7125,58.62,56,0,9.22,clear sky
311,hualmay,PE,-11.0964,-77.6139,61.25,79,23,9.42,few clouds
312,bria,CF,6.5423,21.9863,68.25,98,100,1.01,light rain
313,sao filipe,CV,14.8961,-24.4956,78.19,86,54,13.62,broken clouds
314,pombia,IT,45.653,8.6336,59.09,91,0,4.61,clear sky
315,tiznit,MA,29.5833,-9.5,69.21,56,95,1.16,overcast clouds
316,macaubas,BR,-13.0194,-42.6986,77.14,37,52,4.97,broken clouds
317,rudnogorsk,RU,57.2639,103.7519,31.93,91,100,5.21,light snow
318,micheweni,TZ,-4.9667,39.8333,74.14,85,17,9.4,few clouds
319,nadym,RU,65.5333,72.5167,31.55,88,25,10.04,scattered clouds
320,lagos,NG,6.5833,3.75,77.32,96,82,4.29,moderate rain
321,udachnyy,RU,66.4167,112.4,19.6,93,94,11.03,overcast clouds
322,mikuni,JP,36.2171,136.1519,64.31,77,100,17.56,moderate rain
323,puerto madryn,AR,-42.7692,-65.0385,65.3,28,100,18.3,overcast clouds
324,luderitz,NA,-26.6481,15.1594,53.58,77,6,14.12,clear sky
325,luwingu,ZM,-10.2621,29.9271,60.53,47,64,5.1,broken clouds
326,saldanha,ZA,-33.0117,17.9442,56.26,77,100,4.34,overcast clouds
327,vestmannaeyjar,IS,63.4427,-20.2734,44.94,68,46,13.27,scattered clouds
328,shamilkala,RU,42.6858,46.8639,60.66,93,100,3.83,overcast clouds
329,smithers,CA,54.7804,-127.1743,57.52,72,75,6.91,broken clouds
330,ano mera,GR,37.45,25.4,66.42,63,0,31.34,clear sky
331,saint anthony,US,45.0205,-93.218,64.81,82,0,3.44,clear sky
332,estelle,US,29.8458,-90.1067,75.99,70,14,5.61,few clouds
333,menongue,AO,-14.6585,17.691,62.29,30,85,5.17,overcast clouds
334,ceska kamenice,CZ,50.7978,14.4177,55.4,88,78,4.61,broken clouds
335,palu,ID,-0.8917,119.8707,86.94,66,100,1.66,overcast clouds
336,hay river,CA,60.8156,-115.7999,44.58,61,20,10.36,few clouds
337,tadine,NC,-21.55,167.8833,75.18,55,100,13.67,overcast clouds
338,qaqortoq,GL,60.7167,-46.0333,33.66,85,10,8.19,clear sky
339,sarkand,KZ,45.41,79.9186,53.29,33,0,2.68,clear sky
340,port augusta,AU,-32.5,137.7667,79.34,31,1,12.17,clear sky
341,sarny,UA,51.338,26.6019,47.68,83,100,8.9,overcast clouds
342,vestmanna,FO,62.1564,-7.1664,47.32,76,75,20.71,light rain
343,pringsewu,ID,-5.3582,104.9744,79.48,79,97,2.35,overcast clouds
344,lakes entrance,AU,-37.8811,147.981,66.16,67,96,12.93,overcast clouds
345,ambikapur,IN,23.1167,83.2,73.63,86,67,8.93,broken clouds
346,belaya gora,RU,68.5333,146.4167,22.73,79,100,15.03,overcast clouds
347,polkowice,PL,51.5039,16.0726,58.89,66,67,12.84,broken clouds
348,atbasar,KZ,51.8,68.3333,46.56,42,100,7.07,overcast clouds
349,causapscal,CA,48.3542,-67.227,50.11,80,41,4.18,scattered clouds
350,college,US,64.8569,-147.8028,48.2,71,40,0.0,scattered clouds
351,sarangani,PH,5.4033,125.4636,83.41,75,59,15.35,broken clouds
352,comodoro rivadavia,AR,-45.8667,-67.5,51.66,50,0,9.22,clear sky
353,aljezur,PT,37.3191,-8.8033,67.14,57,0,6.8,clear sky
354,rancho palos verdes,US,33.7445,-118.387,72.0,88,40,11.5,scattered clouds
355,udaipur,IN,24.5712,73.6918,74.3,49,49,3.4,scattered clouds
356,luis correia,BR,-2.8792,-41.6669,78.22,82,4,15.3,clear sky
357,te anau,NZ,-45.4167,167.7167,41.86,82,100,2.91,overcast clouds
358,grand gaube,MU,-20.0064,57.6608,72.0,76,8,1.99,clear sky
359,kalengwa,ZM,-13.4659,25.0027,62.1,23,5,5.3,clear sky
360,coahuayana,MX,18.7333,-103.6833,77.41,89,63,0.67,broken clouds
