City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yichun,CN,2022-10-05 17:34:27,47.7,128.9,25.41,61,22,3.85
68,Calabar,NG,2022-10-05 17:37:31,4.9517,8.322,75.13,93,100,4.85
69,Ponta Do Sol,PT,2022-10-05 17:37:31,32.6667,-17.1,75.0,86,91,4.79
70,Barrow,US,2022-10-05 17:37:31,71.2906,-156.7887,37.42,81,100,21.85
71,Vitim,RU,2022-10-05 17:37:32,59.4511,112.5578,29.39,73,99,7.16
72,Yulara,AU,2022-10-05 17:37:32,-25.2406,130.9889,67.87,28,0,6.8
73,Victoria,HK,2022-10-05 17:34:31,22.2855,114.1577,84.38,78,16,11.99
74,Gao,ML,2022-10-05 17:37:33,16.6362,1.637,99.46,13,26,7.45
75,Nanortalik,GL,2022-10-05 17:37:33,60.1432,-45.2371,37.96,88,84,13.69
76,Gat,IL,2022-10-05 17:37:33,31.61,34.7642,77.81,100,0,6.89
77,Colares,PT,2022-10-05 17:37:34,38.7992,-9.4469,78.48,70,0,13.8
78,Mahebourg,MU,2022-10-05 17:37:34,-20.4081,57.7,72.25,73,40,9.22
79,Asau,RO,2022-10-05 17:37:34,46.4333,26.4,52.72,72,99,5.61
80,Klaksvik,FO,2022-10-05 17:37:35,62.2266,-6.589,49.12,79,97,33.44
81,Atuona,PF,2022-10-05 17:37:35,-9.8,-139.0333,77.16,69,73,16.58
82,Half Moon Bay,US,2022-10-05 17:34:15,37.4636,-122.4286,74.59,91,100,10.36
83,Dvinskoy,RU,2022-10-05 17:37:36,62.1535,45.1175,45.63,92,100,4.92
84,Penzance,GB,2022-10-05 17:37:36,50.1186,-5.5371,57.88,76,20,19.57
85,Honningsvag,NO,2022-10-05 17:37:37,70.9821,25.9704,46.15,76,100,19.57
86,Hobart,AU,2022-10-05 17:37:37,-42.8794,147.3294,49.26,81,100,4.61
87,Nuuk,GL,2022-10-05 17:37:37,64.1835,-51.7216,38.01,87,75,4.61
88,Faya,SA,2022-10-05 17:37:38,18.3851,42.4509,72.12,30,56,12.28
89,Puerto Ayora,EC,2022-10-05 17:37:39,-0.7393,-90.3518,75.16,93,82,5.01
90,Alta Floresta,BR,2022-10-05 17:38:39,-9.8756,-56.0861,94.82,46,75,4.61
91,Meulaboh,ID,2022-10-05 17:38:40,4.1363,96.1285,74.52,93,100,5.61
92,Lumeje,AO,2022-10-05 17:38:40,-11.55,20.7833,83.91,26,86,6.53
93,Saint George,US,2022-10-05 17:36:10,37.1041,-113.5841,77.43,29,0,1.99
94,Dzerzhinskoye,RU,2022-10-05 17:38:41,56.8344,95.2283,33.53,92,100,8.52
95,Maceio,BR,2022-10-05 17:36:10,-9.6658,-35.7353,85.44,61,40,11.5
96,Itarema,BR,2022-10-05 17:38:42,-2.9248,-39.9167,85.06,59,19,20.67
97,Chara,RU,2022-10-05 17:38:42,56.9064,118.2631,17.85,75,88,4.03
98,Hamilton,US,2022-10-05 17:33:50,39.1834,-84.5333,76.5,34,0,3.44
99,Port Hedland,AU,2022-10-05 17:38:43,-20.3167,118.5667,66.25,88,2,6.91
100,Najran,SA,2022-10-05 17:34:15,17.4924,44.1277,84.85,21,60,6.15
101,Stokmarknes,NO,2022-10-05 17:38:44,68.5646,14.9108,49.96,76,20,11.5
102,Leavenworth,US,2022-10-05 17:35:51,39.2333,-95.0336,78.71,51,78,4.0
103,Lompoc,US,2022-10-05 17:38:44,34.6391,-120.4579,66.34,94,100,2.3
104,Orocue,CO,2022-10-05 17:38:44,4.7912,-71.3354,91.47,56,98,1.14
105,Iqaluit,CA,2022-10-05 17:38:45,63.7506,-68.5145,33.53,93,100,6.91
106,Dosso,NE,2022-10-05 17:36:59,13.049,3.1937,91.4,39,67,8.75
107,Parfenyevo,RU,2022-10-05 17:38:45,58.484,43.4088,44.73,93,100,5.26
108,Saskylakh,RU,2022-10-05 17:38:46,71.9167,114.0833,6.1,98,97,4.32
109,Burnie,AU,2022-10-05 17:38:46,-41.0667,145.9167,49.95,63,100,22.1
110,Ughelli,NG,2022-10-05 17:38:47,5.4899,6.0074,76.82,88,99,6.73
111,Saint-Louis,SN,2022-10-05 17:38:47,16.3333,-15.0,105.44,13,17,6.6
112,Letterkenny,IE,2022-10-05 17:38:48,54.95,-7.7333,55.33,78,81,16.02
113,Sisimiut,GL,2022-10-05 17:35:51,66.9395,-53.6735,32.85,67,16,5.12
114,Kapaa,US,2022-10-05 17:37:11,22.0752,-159.319,74.1,88,75,6.91
115,Kenai,US,2022-10-05 17:38:49,60.5544,-151.2583,50.09,81,100,16.11
116,Yalutorovsk,RU,2022-10-05 17:38:49,56.6536,66.3006,46.74,45,100,8.21
117,Zhigansk,RU,2022-10-05 17:37:16,66.7697,123.3711,24.37,95,100,7.36
118,Port Alfred,ZA,2022-10-05 17:36:11,-33.5906,26.891,63.18,90,100,3.0
119,Dunmore Town,BS,2022-10-05 17:38:50,25.5,-76.65,80.53,71,21,7.96
120,Shitanjing,CN,2022-10-05 17:38:50,39.2342,106.3439,47.98,39,90,0.87
121,Vila Franca Do Campo,PT,2022-10-05 17:38:51,37.7167,-25.4333,73.2,83,100,8.57
122,Olinda,BR,2022-10-05 17:36:48,-8.0089,-34.8553,78.53,83,75,10.36
123,Arinos,BR,2022-10-05 17:38:51,-15.9169,-46.1056,93.15,32,55,3.6
124,Hithadhoo,MV,2022-10-05 17:38:52,-0.6,73.0833,82.51,73,80,18.05
125,Ulaanbaatar,MN,2022-10-05 17:36:15,47.9077,106.8832,15.93,79,0,0.0
126,Cabo San Lucas,MX,2022-10-05 17:34:14,22.8909,-109.9124,90.61,57,0,5.75
127,Caravelas,BR,2022-10-05 17:38:52,-17.7125,-39.2481,81.57,61,39,11.23
128,Novo Aripuana,BR,2022-10-05 17:38:53,-5.1206,-60.3797,96.58,33,86,2.55
129,Saint-Philippe,RE,2022-10-05 17:38:53,-21.3585,55.7679,71.19,78,26,10.83
130,Pingshan,CN,2022-10-05 17:38:54,22.9938,114.7131,74.39,92,2,3.67
131,Newport,GB,2022-10-05 17:36:41,51.5877,-2.9984,58.77,74,43,24.02
132,Buraydah,SA,2022-10-05 17:38:54,26.326,43.975,90.05,13,0,8.86
133,Banjar,ID,2022-10-05 17:39:55,-8.19,114.9675,76.32,90,93,6.8
134,Castro,BR,2022-10-05 17:39:55,-24.7911,-50.0119,77.02,54,23,5.14
135,Nioro,GM,2022-10-05 17:39:56,13.35,-15.75,84.36,79,63,9.93
136,Lerwick,GB,2022-10-05 17:39:56,60.1545,-1.1494,53.6,77,22,27.49
137,Touros,BR,2022-10-05 17:39:57,-5.1989,-35.4608,83.39,64,1,17.05
138,Vardo,NO,2022-10-05 17:39:57,70.3705,31.1107,44.06,80,89,17.13
139,Georgetown,MY,2022-10-05 17:39:57,5.4112,100.3354,78.73,97,40,5.75
140,Torbay,CA,2022-10-05 17:35:42,47.6666,-52.7314,64.89,47,20,14.97
141,Chumikan,RU,2022-10-05 17:39:58,54.7183,135.315,31.08,58,83,15.46
142,Champerico,GT,2022-10-05 17:39:58,14.3,-91.9167,90.14,75,95,4.83
143,Avera,US,2022-10-05 17:36:29,33.194,-82.5271,75.38,21,0,3.58
144,Santa Lucia,ES,2022-10-05 17:39:59,27.9117,-15.5407,72.77,41,97,24.16
145,Garissa,KE,2022-10-05 17:39:59,-0.4536,39.6401,81.39,56,34,24.0
146,Jiangyou,CN,2022-10-05 17:40:00,31.7667,104.7167,60.3,96,100,2.15
147,Santa Maria,BR,2022-10-05 17:40:00,-29.6842,-53.8069,76.3,50,0,14.97
148,Srednekolymsk,RU,2022-10-05 17:40:01,67.45,153.6833,20.44,88,100,24.56
149,Yellowknife,CA,2022-10-05 17:40:01,62.456,-114.3525,36.12,64,75,15.01
150,Avarua,CK,2022-10-05 17:40:02,-21.2078,-159.775,73.45,78,20,13.8
151,Baillif,GP,2022-10-05 17:40:02,16.0202,-61.7463,87.3,75,38,17.0
152,Bar Harbor,US,2022-10-05 17:37:11,44.3876,-68.2039,65.91,77,75,6.91
153,Paamiut,GL,2022-10-05 17:40:03,61.994,-49.6678,37.11,92,100,7.27
154,Los Llanos De Aridane,ES,2022-10-05 17:40:03,28.6585,-17.9182,73.15,78,40,12.66
155,Ancud,CL,2022-10-05 17:40:04,-41.8697,-73.8203,50.36,81,98,23.11
156,Cidreira,BR,2022-10-05 17:40:05,-30.1811,-50.2056,65.44,72,0,15.23
157,Saldanha,ZA,2022-10-05 17:40:05,-33.0117,17.9442,60.85,76,42,9.57
158,Kurchum,KZ,2022-10-05 17:40:06,48.5722,83.6542,44.91,41,8,8.01
159,Coos Bay,US,2022-10-05 17:37:39,43.3665,-124.2179,59.23,94,100,4.61
160,Kununurra,AU,2022-10-05 17:40:07,-15.7667,128.7333,78.78,78,40,4.61
161,Sapouy,BF,2022-10-05 17:40:08,11.5544,-1.7736,82.47,61,83,5.7
162,Nizhniy Kuranakh,RU,2022-10-05 17:40:08,58.8353,125.4869,27.16,96,100,9.73
163,Thompson,CA,2022-10-05 17:40:09,55.7435,-97.8558,30.36,86,75,17.27
164,Provideniya,RU,2022-10-05 17:40:09,64.3833,-173.3,39.4,96,100,13.53
165,Khandyga,RU,2022-10-05 17:40:10,62.6667,135.6,11.73,89,17,1.52
166,Chuy,UY,2022-10-05 17:40:11,-33.6971,-53.4616,66.51,56,46,14.36
167,Coihaique,CL,2022-10-05 17:40:11,-45.5752,-72.0662,54.21,62,100,10.36
168,Saint-Denis,FR,2022-10-05 17:40:12,48.9167,2.3333,68.77,70,100,16.11
169,Carutapera,BR,2022-10-05 17:40:13,-1.195,-46.02,87.15,57,35,11.25
170,Hami,CN,2022-10-05 17:40:14,42.8,93.45,52.83,55,21,3.62
171,San Andres,CO,2022-10-05 17:40:15,12.5847,-81.7006,87.82,74,75,9.22
172,Richards Bay,ZA,2022-10-05 17:40:15,-28.783,32.0377,73.18,80,29,8.12
173,Port Blair,IN,2022-10-05 17:40:16,11.6667,92.75,79.56,86,99,12.91
174,Tucuma,BR,2022-10-05 17:40:17,-0.1833,-50.05,88.57,54,24,11.3
175,Obudovac,BA,2022-10-05 17:40:17,44.965,18.6122,59.25,64,95,6.13
176,Lavrentiya,RU,2022-10-05 17:40:18,65.5833,-171.0,38.03,91,100,18.77
177,Jorochito,BO,2022-10-05 17:40:18,-18.05,-63.4333,88.12,34,4,14.32
178,Faanui,PF,2022-10-05 17:40:19,-16.4833,-151.75,77.45,76,36,25.72
179,Sapa,PH,2022-10-05 17:41:20,5.1544,120.3241,80.17,81,49,1.41
180,Mayor Pablo Lagerenza,PY,2022-10-05 17:41:21,-19.9309,-60.7718,104.63,22,15,19.39
181,Teguise,ES,2022-10-05 17:41:21,29.0605,-13.564,75.42,65,0,14.97
182,Camacha,PT,2022-10-05 17:41:23,33.0833,-16.3333,69.22,64,20,13.8
183,Neuquen,AR,2022-10-05 17:40:22,-38.9516,-68.0591,67.89,32,0,4.61
184,Zyryanka,RU,2022-10-05 17:41:23,65.75,150.85,19.36,93,100,29.37
185,Hasaki,JP,2022-10-05 17:39:24,35.7333,140.8333,57.6,81,100,25.21
186,Tuktoyaktuk,CA,2022-10-05 17:41:24,69.4541,-133.0374,30.2,100,100,12.66
187,Gizo,SB,2022-10-05 17:41:25,-8.103,156.8419,81.46,76,33,7.81
188,Inhambane,MZ,2022-10-05 17:41:25,-23.865,35.3833,73.4,86,0,13.6
189,Poum,NC,2022-10-05 17:41:26,-20.2333,164.0167,73.02,64,14,13.33
190,Kodiak,US,2022-10-05 17:41:26,57.79,-152.4072,53.11,87,100,19.57
191,Ribeira Grande,PT,2022-10-05 17:41:27,38.5167,-28.7,72.0,78,75,9.22
192,Dingle,PH,2022-10-05 17:41:27,10.9995,122.6711,76.82,89,99,6.4
193,Qaanaaq,GL,2022-10-05 17:41:28,77.484,-69.3632,8.24,73,83,7.49
194,Bambanglipuro,ID,2022-10-05 17:41:28,-7.95,110.2833,76.64,85,100,8.95
195,Leningradskiy,RU,2022-10-05 17:41:28,69.3833,178.4167,25.45,83,100,11.59
196,Phenix City,US,2022-10-05 17:40:39,32.471,-85.0008,79.25,30,0,9.22
197,Bokoro,TD,2022-10-05 17:41:29,12.3807,17.0568,86.83,50,91,8.01
198,Rawlins,US,2022-10-05 17:41:29,41.7911,-107.2387,54.36,54,0,3.44
199,Beira,MZ,2022-10-05 17:37:45,-19.8436,34.8389,77.09,88,40,11.63
200,Hokitika,NZ,2022-10-05 17:41:30,-42.7167,170.9667,33.19,61,6,4.54
201,Bonthe,SL,2022-10-05 17:41:31,7.5264,-12.505,80.46,79,60,8.59
202,Letlhakane,BW,2022-10-05 17:41:31,-21.4167,25.5833,83.46,16,4,10.11
203,Carballo,ES,2022-10-05 17:41:31,43.213,-8.691,66.0,92,100,8.41
204,Morondava,MG,2022-10-05 17:41:32,-20.2833,44.2833,76.8,82,0,15.64
205,Portland,US,2022-10-05 17:37:39,45.5234,-122.6762,63.28,93,100,8.05
206,Manitouwadge,CA,2022-10-05 17:41:32,49.1215,-85.8403,59.68,87,85,7.43
207,Tokur,RU,2022-10-05 17:41:33,53.1333,132.9,17.87,88,29,3.83
208,Dumai,ID,2022-10-05 17:41:33,1.6833,101.45,74.75,97,100,1.9
209,Coquimbo,CL,2022-10-05 17:41:34,-29.9533,-71.3436,64.13,59,20,14.97
210,Barranca,PE,2022-10-05 17:41:34,-10.75,-77.7667,64.76,68,24,12.53
211,Vestmannaeyjar,IS,2022-10-05 17:41:35,63.4427,-20.2734,47.39,71,75,21.85
212,Ullapool,GB,2022-10-05 17:41:35,57.8987,-5.1604,53.35,86,45,23.4
213,Mundo Novo,BR,2022-10-05 17:41:36,-11.8589,-40.4725,92.28,22,4,8.39
214,Luorong,CN,2022-10-05 17:41:36,24.4058,109.6086,78.85,69,79,3.22
