,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,macaubas,BR,77.14,broken clouds,-13.0194,-42.6986,Hotel Portal
332,estelle,US,75.99,few clouds,29.8458,-90.1067,Ohio
335,palu,ID,86.94,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
340,port augusta,AU,79.34,clear sky,-32.5,137.7667,Majestic Oasis Apartments
343,pringsewu,ID,79.48,overcast clouds,-5.3582,104.9744,Urban Style by Front One
351,sarangani,PH,83.41,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
356,luis correia,BR,78.22,clear sky,-2.8792,-41.6669,Hotel Amarração
360,coahuayana,MX,77.41,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
361,mahibadhoo,MV,80.96,overcast clouds,3.7833,72.9667,Omadhoo Inn
363,bengkulu,ID,81.46,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
365,japura,ID,82.15,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
366,vero beach,US,77.99,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
372,moranbah,AU,84.22,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
373,wakema,MM,82.11,overcast clouds,16.6,95.1833,Aung Kaday Hotel
374,iranshahr,IR,77.34,clear sky,27.2025,60.6848,نیک سرشت
378,mangrol,IN,80.01,few clouds,21.1167,70.1167,Hotel The Royal Honours
379,vieux-habitants,GP,80.17,overcast clouds,16.0589,-61.7659,Habitation GETZ
385,cairns,AU,88.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
388,pemangkat,ID,78.89,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
389,kanniyakumari,IN,78.53,moderate rain,8.0833,77.5667,Sparsa Kanyakumari
392,urucara,BR,80.8,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
396,kavieng,PG,84.61,light rain,-2.5744,150.7967,Nusa Island Retreat
398,san patricio,US,80.46,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
403,itarema,BR,78.28,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
406,kapit,MY,83.73,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
407,salinopolis,BR,80.42,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
415,fare,PF,77.72,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
417,kota belud,MY,85.26,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
422,tecoanapa,MX,79.75,clear sky,16.5167,-98.75,Hotel Manglares
425,lamin,GM,78.91,scattered clouds,13.3522,-16.4339,Jerreh Camp Lodge
426,kudahuvadhoo,MV,81.25,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
427,bang saphan,TH,77.9,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
428,del rio,US,78.91,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
432,mackay,AU,76.68,broken clouds,-21.15,149.2,International Lodge Motel
438,buala,SB,85.8,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
443,cravo norte,CO,82.02,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
444,melbourne,US,76.96,broken clouds,28.0836,-80.6081,"Hilton Melbourne, FL"
447,laguna,US,85.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
450,cabimas,VE,80.83,overcast clouds,10.3883,-71.4399,Sala velatoria
454,san policarpo,PH,84.87,moderate rain,12.1791,125.5072,Agapita M. Nicart
455,porto novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
457,kushima,JP,77.58,broken clouds,31.4583,131.2333,Hanaoka
464,aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
